iter	Passed	Remaining
573	2726	2023
574	2728	2017
575	2732	2011
576	2734	2004
577	2738	1999
578	2744	1995
579	2749	1990
580	2752	1985
581	2758	1981
582	2764	1977
583	2768	1972
584	2770	1965
585	2773	1959
586	2776	1953
587	2780	1948
588	2785	1943
589	2789	1938
590	2794	1933
591	2803	1932
592	2810	1929
593	2820	1927
594	2826	1924
595	2832	1920
596	2837	1915
597	2843	1911
598	2846	1905
599	2856	1904
600	2860	1898
601	2864	1893
602	2868	1888
603	2874	1884
604	2883	1882
605	2888	1878
606	2895	1874
607	2897	1868
608	2901	1863
609	2906	1857
610	2911	1853
611	2915	1848
612	2923	1845
613	2926	1839
614	2929	1833
615	2934	1829
616	2938	1823
617	2941	1818
618	2944	1812
619	2949	1807
620	2954	1802
621	2957	1797
622	2961	1791
623	2966	1787
624	2968	1780
625	2972	1775
626	2974	1769
627	2978	1764
628	2982	1758
629	2987	1754
630	2992	1749
631	2995	1743
632	2999	1738
633	3002	1733
634	3005	1727
635	3010	1723
636	3013	1717
637	3019	1713
638	3022	1707
639	3027	1702
640	3030	1697
641	3033	1691
642	3039	1687
643	3042	1681
644	3046	1676
645	3053	1673
646	3059	1669
647	3062	1663
648	3065	1658
649	3067	1651
650	3075	1648
651	3079	1643
652	3082	1637
653	3086	1632
654	3090	1627
655	3092	1621
656	3095	1616
657	3097	1610
658	3104	1606
659	3109	1601
660	3111	1595
661	3116	1591
662	3121	1586
663	3125	1581
664	3131	1577
665	3137	1573
666	3142	1568
667	3144	1562
668	3148	1557
669	3149	1551
670	3153	1546
671	3155	1540
672	3158	1534
673	3161	1529
674	3170	1526
675	3174	1521
676	3177	1516
677	3180	1510
678	3184	1505
679	3186	1499
680	3188	1493
681	3191	1488
682	3195	1483
683	3200	1478
684	3204	1473
685	3206	1467
686	3209	1462
687	3213	1457
688	3218	1452
689	3221	1447
690	3227	1443
691	3229	1437
692	3238	1434
693	3239	1428
694	3243	1423
695	3245	1417
696	3250	1413
697	3254	1407
698	3262	1405
699	3264	1398
700	3270	1394
701	3273	1389
702	3279	1385
703	3283	1380
704	3287	1375
705	3289	1369
706	3291	1364
707	3299	1360
708	3301	1355
709	3303	1349
710	3310	1345
711	3316	1341
712	3318	1335
713	3324	1331
714	3329	1327
715	3331	1321
716	3353	1323
717	3355	1317
718	3365	1315
719	3370	1310
720	3373	1305
721	3378	1300
722	3382	1295
723	3388	1291
724	3396	1288
725	3401	1283
726	3404	1278
727	3412	1275
728	3416	1270
729	3419	1264
730	3428	1261
731	3431	1256
732	3440	1253
733	3446	1249
734	3450	1244
735	3453	1238
736	3455	1233
737	3461	1228
738	3463	1223
739	3467	1218
740	3470	1213
741	3472	1207
742	3477	1202
743	3480	1197
744	3482	1192
745	3485	1186
746	3491	1182
747	3494	1177
748	3496	1171
749	3502	1167
750	3504	1162
751	3509	1157
752	3511	1151
753	3514	1146
754	3517	1141
755	3519	1135
756	3523	1131
757	3526	1125
758	3528	1120
759	3530	1115
760	3533	1109
761	3536	1104
762	3541	1100
763	3546	1095
764	3551	1090
765	3553	1085
766	3555	1080
767	3558	1074
768	3560	1069
769	3564	1064
770	3568	1059
771	3570	1054
772	3574	1049
773	3577	1044
774	3580	1039
775	3583	1034
776	3588	1029
777	3591	1024
778	3594	1019
779	3596	1014
780	3598	1009
781	3600	1003
782	3603	998
783	3606	993
784	3610	988
785	3613	983
786	3615	978
787	3622	974
788	3626	969
789	3631	965
790	3634	960
791	3637	955
792	3641	950
793	3642	945
794	3645	940
795	3649	935
796	3650	929
797	3653	924
798	3656	919
799	3657	914
800	3661	909
801	3664	904
802	3666	899
803	3668	894
804	3674	890
805	3678	885
806	3681	880
807	3683	875
808	3685	870
809	3688	865
810	3690	860
811	3693	855
812	3696	850
813	3699	845
814	3703	840
815	3707	835
816	3709	830
817	3711	825
818	3713	820
819	3716	815
820	3719	811
821	3722	806
822	3724	801
823	3728	796
824	3734	792
825	3736	787
826	3739	782
827	3744	777
828	3746	772
829	3750	768
830	3753	763
831	3756	758
832	3758	753
833	3761	748
834	3762	743
835	3766	738
836	3768	733
837	3770	728
838	3772	723
839	3774	718
840	3776	714
841	3778	709
842	3783	704
843	3786	699
844	3789	695
845	3791	690
846	3793	685
847	3795	680
848	3798	675
849	3803	671
850	3805	666
851	3806	661
852	3809	656
853	3810	651
854	3812	646
855	3814	641
856	3817	636
857	3819	632
858	3822	627
859	3824	622
860	3826	617
861	3827	612
862	3829	607
863	3831	603
864	3835	598
865	3837	593
866	3839	588
867	3841	584
868	3843	579
869	3844	574
870	3847	569
871	3848	564
872	3850	560
873	3852	555
874	3854	550
875	3855	545
876	3857	540
877	3859	536
878	3861	531
879	3863	526
880	3865	522
881	3867	517
882	3869	512
883	3871	507
884	3872	503
885	3874	498
886	3876	493
887	3878	489
888	3881	484
889	3883	479
890	3885	475
891	3887	470
892	3889	466
893	3891	461
894	3893	456
895	3895	452
896	3897	447
897	3899	442
898	3901	438
899	3903	433
900	3904	429
901	3907	424
902	3908	419
903	3911	415
